Crop,Year,Import,Export,Production,Yield,Demand
Wheat,2022,53,5377,104000,3.4144,108676
Wheat,2023,250,300,110554,3.5207,111004
Wheat,2024,2000,300,112500,3.5377,113500
Rice,2022,0,17733,203653,4.2577,114510
Rice,2023,0,16500,201020,4.1879,118000
Rice,2024,0,18000,202520,4.2368,120000
Corn,2022,0,3195,38085,3.5448,34700
Corn,2023,0,1800,35500,3.4135,34400
Corn,2024,0,1000,37000,3.4259,36800
Millet,2022,0,0,13506,1.474,13450
Millet,2023,0,0,12200,1.2842,12200
Millet,2024,0,0,12800,1.4222,12800
Sorghum,2022,0,37,3814,1.0789,3900
Sorghum,2023,0,50,4400,1.0732,4250
Sorghum,2024,0,50,4200,1.1053,4200
Barley,2022,238,3,1371,3.0265,1600
Barley,2023,150,7,1913,3.0462,1750
Barley,2024,100,10,2150,2.9861,2100
