Crop,Year,Season,State,Production,Annual_Rainfall,Yield
Arecanut,1997,Whole Year,Assam,56708,2051.4,0.796086957
Arhar/Tur,1997,Kharif,Assam,4685,2051.4,0.710434783
Castor seed,1997,Kharif,Assam,22,2051.4,0.238333333
Coconut,1997,Whole Year,Assam,126905000,2051.4,5238.051739
Cotton(lint),1997,Kharif     ,Assam,794,2051.4,0.420909091
Dry chillies,1997,Whole Year ,Assam,9073,2051.4,0.643636364
Gram,1997,Rabi       ,Assam,1507,2051.4,0.465454545
Jute,1997,Kharif     ,Assam,904095,2051.4,9.919565217
Linseed,1997,Rabi       ,Assam,5158,2051.4,0.461363636
Maize,1997,Kharif     ,Assam,14721,2051.4,0.615652174
Mesta,1997,Kharif     ,Assam,29003,2051.4,4.568947368
Niger seed,1997,Whole Year ,Assam,5076,2051.4,0.482352941
Onion,1997,Whole Year ,Assam,17943,2051.4,2.342608696
Other  Rabi pulses,1997,Rabi       ,Assam,58272,2051.4,0.520869565
Potato,1997,Whole Year ,Assam,671871,2051.4,7.561304348
Rapeseed &Mustard,1997,Rabi       ,Assam,154772,2051.4,0.554782609
Rice,1997,Autumn     ,Assam,398311,2051.4,0.780869565
Rice,1997,Summer     ,Assam,209623,2051.4,1.060434783
Rice,1997,Winter     ,Assam,1647296,2051.4,0.941304348
Sesamum,1997,Whole Year ,Assam,8257,2051.4,0.487391304
Small millets,1997,Kharif     ,Assam,5391,2051.4,0.473
Sugarcane,1997,Kharif     ,Assam,1287451,2051.4,41.89695652
Sweet potato,1997,Whole Year ,Assam,32618,2051.4,3.440434783
Tapioca,1997,Whole Year ,Assam,11728,2051.4,4.41826087
Tobacco,1997,Whole Year ,Assam,26,2051.4,0.38
Turmeric,1997,Whole Year ,Assam,6974,2051.4,0.67
Wheat,1997,Rabi       ,Assam,110054,2051.4,1.25952381
Arecanut,1997,Whole Year ,Karnataka,133342,1266.7,1.293571429
Arhar/Tur,1997,Kharif     ,Karnataka,98473,1266.7,0.268235294
Bajra,1997,Kharif     ,Karnataka,132056,1266.7,0.404545455
Bajra,1997,Summer     ,Karnataka,662,1266.7,0.81
Black pepper,1997,Kharif     ,Karnataka,924,1266.7,0.4375
Cardamom,1997,Whole Year ,Karnataka,1214,1266.7,0.058571429
Coriander,1997,Whole Year ,Karnataka,2853,1266.7,0.121333333
Dry chillies,1997,Kharif     ,Karnataka,139206,1266.7,1.078333333
Dry chillies,1997,Rabi       ,Karnataka,7895,1266.7,1.869444444
Garlic,1997,Whole Year ,Karnataka,3799,1266.7,1.585
Ginger,1997,Kharif     ,Karnataka,4745,1266.7,1.262307692
Groundnut,1997,Kharif     ,Karnataka,525562,1266.7,0.709411765
Groundnut,1997,Rabi       ,Karnataka,181071,1266.7,1.133333333
Horse-gram,1997,Kharif     ,Karnataka,80124,1266.7,0.45
Horse-gram,1997,Rabi       ,Karnataka,82572,1266.7,0.514705882
Jowar,1997,Kharif     ,Karnataka,516093,1266.7,1.228
Jowar,1997,Rabi       ,Karnataka,722773,1266.7,0.510714286
Jowar,1997,Summer     ,Karnataka,15135,1266.7,2.470909091
Maize,1997,Kharif     ,Karnataka,1391132,1266.7,2.687777778
Maize,1997,Rabi       ,Karnataka,98932,1266.7,1.98
Maize,1997,Summer     ,Karnataka,20893,1266.7,2.165714286
Ragi,1997,Kharif     ,Karnataka,1214282,1266.7,1.191333333
